,name,required_age,is_free,currency,final,total_reviews,review_score
1195020,Guardians of the Ashes,0,False,EUR,2.39,103,6
1195090,Hippoboar Rancher ~かばいの牧場物語~,0,False,EUR,8.19,1,0
1195140,URG,0,False,EUR,16.79,2,0
1195170,Rebound Ball,0,False,EUR,0.79,4,0
1194480,Cursed Gem,0,True,,,11,7
1194590,Star Dynasties,0,False,EUR,21.99,98,6
1194600,Bronze Hoof,0,True,,,1,0
1194610,Knights of the Temple: Infernal Crusade,0,False,EUR,9.99,13,7
1194630,The Dark Pictures Anthology: Little Hope,18,False,EUR,29.99,1333,6
1194650,ReFrame,0,False,EUR,6.59,1,0
1194670,Fairyfail,0,False,EUR,17.99,2,0
1194680,ZooKeeper Simulator,0,False,EUR,3.99,112,8
1194690,Creatry — Easy Game Maker & Game Builder App,0,False,EUR,19.99,7,0
1194700,House Flipper VR,0,False,EUR,16.79,102,5
1194720,No School No Rules,0,False,EUR,1.59,3,0
1194790,Kessler Effect,0,False,EUR,3.99,8,0
1194830,Master Bladesmith,0,False,EUR,24.99,204,8
1194840,Frog Fractions: Game of the Decade Edition,0,True,,,65,8
1193990,Trapped,0,False,EUR,3.29,13,7
1194050,Orange Cast: Sci-Fi Space Action Game,0,False,EUR,13.99,50,6
1194100,Musical Aim Trainer,0,False,EUR,2.39,1,0
1194140,Blind Justice,0,False,EUR,8.19,35,5
1194160,One-Eyed Lee and the Dinner Party,0,False,EUR,3.99,5,0
1194170,Foe Frenzy,0,False,EUR,5.69,1,0
1194220,Zombie Tag Royale,0,False,EUR,1.59,2,0
1194380,Volleyball Fever Flat,0,False,EUR,2.39,1,0
1194390,The Land of Crows,0,True,,,4,0
1193660,Jack-O-Lantern Covers of Darkness,0,False,EUR,5.0,3,0
1193730,Piece Of Mind,0,False,EUR,12.49,2,0
1193780,Tower Climb,0,False,EUR,3.99,2,0
1193790,UNHERD,0,False,EUR,5.69,5,0
1193830,Jeremiah,0,False,EUR,1.59,1,0
1193930,Ping Pong Space - Retro Tennis,0,False,EUR,0.41,2,0
1193950,Dashbot Ninja,0,False,EUR,3.99,1,0
1193110,Love love demon ji-恋恋妖姬,0,False,,,3,0
1193160,Bomber Fox,0,False,EUR,3.99,1,0
1193200,K37-D,0,False,EUR,3.99,3,0
1193210,Hunt the Muglump,0,False,EUR,0.79,3,0
1193300,Axe Cop,0,False,EUR,8.19,7,0
1193330,Together - A Wish No One Remembers,0,False,EUR,8.99,5,0
1193340,Zelter,0,False,EUR,19.99,305,6
1193420,The Dis-United States Of America,0,False,EUR,0.79,1,0
1193450,Stripper Anya: Christmas Special,0,False,EUR,8.19,1,0
1193460,Bunny Sudoku,0,False,EUR,2.39,4,0
1193490,A Crooked Heart,0,False,EUR,1.59,2,0
1193520,Space Climber,0,False,EUR,3.29,2,0
1193560,Roast Party,0,False,EUR,0.79,6,0
1192580,Nyanco Dream,0,False,EUR,0.79,13,6
1192610,ANIME REDEMPTION,0,False,EUR,1.99,162,8
1192640,Hentai Mosaique Neko Waifus,0,False,EUR,1.59,415,8
1192730,ADULT SHERIFF,0,False,EUR,0.79,67,5
1192740,Woman's body: For adults 2,0,False,EUR,2.39,4,0
1192840,The Shenanigans of Cherry and Trix,0,False,EUR,6.59,1,0
1192860,Winter Snow | 冬雪,0,False,EUR,0.79,1,0
1192880,Nostalgiarian,0,False,EUR,1.59,1,0
1192890,Shoot Them,0,False,EUR,0.79,23,5
1192910,食用系少女：美食內戰 Food Girls：Civil War,0,False,EUR,16.79,2,0
1192070,TriangleStorm,0,False,EUR,0.79,1,0
1192160,Section Six,0,False,EUR,2.99,1,0
1192260,Labyrinths of the World: The Wild Side Collector's Edition,0,False,EUR,8.19,3,0
1192270,Royal Detective: The Last Charm Collector's Edition,0,False,EUR,8.19,1,0
1192310,KAWAII GIRLS PUZZLE,0,False,EUR,0.79,10,7
1192390,Invisible Enemy,0,False,EUR,5.69,3,0
1192410,Room Escape '1053',0,False,,,1,0
1192420,Shuttle Commander,0,False,EUR,19.99,19,5
1192500,GraFi Christmas,0,False,EUR,1.59,2,0
1191580,Nexomon,0,False,EUR,8.19,432,8
1191590,End of War 1945,0,False,EUR,13.49,11,7
1191610,Memory,0,False,EUR,12.49,1,0
1191790,The World Is Ruled According to Sexual Prowess So I’m Playing Dirty to Get My Harem Episode 1,0,False,EUR,3.99,4,0
1191820,Spot The Differences 2020 | 大家来找茬 2020,0,False,EUR,0.79,3,0
1191860,Memody: Sindrel Song,0,False,EUR,8.19,15,7
1191900,Say No! More,0,False,EUR,14.99,199,8
1191940,Deathtrap Dungeon: The Interactive Video Adventure,0,False,EUR,6.59,113,8
1192060,Virus L,0,False,EUR,8.19,3,0
1191190,War Robots: Planet Defender,0,False,EUR,5.69,3,0
1191210,Seek Girl Ⅲ,0,False,EUR,0.79,248,8
1191280,12 Labours of Hercules X: Greed for Speed,0,False,EUR,9.99,7,0
1191440,Forgotten Ways,0,False,EUR,1.59,2,0
1191500,Spire of Sorcery (Limited Early Access),0,False,EUR,20.0,15,5
1191510,PixHunter,0,False,EUR,0.79,1,0
1190620,Defence War,0,False,EUR,2.39,7,0
1190640,Memory Match Saga,0,False,EUR,1.59,1,0
1190750,GameAssistant: The Tool For Every Gamer,0,True,,,1,0
1190760,Tales of the Deck,0,False,EUR,8.19,3,0
1190780,DooM in the Dark 2,0,False,EUR,6.59,2,0
1190810,Ghetto Conspiracy,0,False,EUR,2.39,8,0
1190820,Booobjz,0,False,EUR,4.99,6,0
1190910,Defend Them !,0,False,EUR,3.99,1,0
1190930,ScribbleDude,0,False,EUR,5.69,6,0
1190980,Hoarding Simulator,0,False,EUR,2.99,1,0
1191070,Yuki Onna | 雪女,0,False,EUR,3.99,46,6
1191100,Hentai Waifu,0,False,EUR,0.79,17,6
1190160,LIT: Bend the Light,0,False,EUR,5.99,86,8
1190180,Arrow,0,True,,,1,0
1190310,Dancing Arrow : Beat Smash,0,False,EUR,20.99,2,0
1190380,Race Race Racer,0,False,EUR,0.79,11,6
1190400,The Wonderful 101: Remastered,0,False,EUR,44.99,231,8
1190410,Crazy city,0,False,EUR,0.79,3,0
1190460,DEATH STRANDING,0,False,CAD,79.99,14941,8
1190480,Heebie Jeebies: The Roller Coaster,0,False,EUR,3.99,2,0
1190560,Scriptum VR: The Neighbor's House Escape Room,0,False,EUR,6.59,1,0
1189740,Juken Jigoku | 受験地獄,0,False,EUR,2.39,16,5
1189750,WinTweaker,0,False,EUR,3.99,6,0
1189780,Wallachia: Reign of Dracula,0,False,EUR,8.19,40,6
1189800,Bleeding Edge,0,False,EUR,29.99,749,6
1190060,The Last Deathbound,0,False,EUR,0.79,4,0
1190110,H-SNIPER: Middle East,0,False,EUR,0.79,387,8
1190120,Good doktor,0,False,EUR,5.69,5,0
1189230,Door in the Woods,0,False,EUR,8.19,151,6
1189360,Art of Beauties,0,False,EUR,1.59,11,7
1189380,Beat Or Die The MiniGames,0,False,EUR,1.59,1,0
1189440,VenusBlood FRONTIER International,0,False,EUR,33.99,29,7
1189460,ClickCells: Office Lady,0,False,EUR,0.79,20,6
1189520,Street Hoop,0,False,EUR,3.99,5,0
1189630,Path Of Wuxia,0,False,EUR,16.79,502,8
1189650,Post Scriptum CTG: Collectible Token Game,0,True,,,2,0
1188760,JEF,0,False,EUR,3.29,40,7
1188800,In the Service of Mrs. Claus,0,False,EUR,3.29,4,0
1188970,Ether Loop,0,False,EUR,11.99,114,6
1188990,WREST,0,False,EUR,16.79,11,6
1189020,LOGA: Unexpected Adventure,0,False,EUR,3.99,2,0
1189040,Smart Girl : Christmas,0,False,EUR,0.79,1,0
1189050,Hot And Lovely,0,False,EUR,1.59,21,5
1189080,Squirrel Legacy,0,False,EUR,8.19,6,0
1189120,Posibility,0,False,EUR,3.99,1,0
1189200,Moonlight Basket,0,False,EUR,5.69,1,0
1189210,Yuna and other troubles,0,False,EUR,8.19,1,0
1188430,"Deep, In the  Forest",0,False,EUR,10.79,14,5
1188540,Apex Aim Trainer,0,False,EUR,3.99,111,8
1188580,Classic Snake Adventures,0,False,EUR,8.99,2,0
1188670,Castle Commander,0,False,EUR,3.99,1,0
1188680,The Political Machine 2020,0,False,EUR,12.49,540,8
1188690,Speed Masters ASD,0,False,EUR,8.19,1,0
1188710,Bloodholic,0,False,EUR,1.59,1,0
1188000,Pulstario,0,False,EUR,0.79,15,7
1188060,My hot beach vacation,0,False,EUR,2.25,3,0
1188080,Cats are Liquid - A Better Place,0,False,EUR,1.59,78,8
1188140,Country Road VR,0,False,EUR,1.59,6,0
1188160,Ground Zero Texas - Nuclear Edition,0,False,EUR,12.49,6,0
1188250,GLOWCOMA: chapter 1,18,False,EUR,0.79,83,8
1188260,Creature Card Idle,0,False,EUR,1.59,57,5
1188280,Coffee Rush,0,False,EUR,3.99,1,0
1188290,Cover Your Eyes,0,False,EUR,8.99,1,0
1188310,Mini Island,0,False,EUR,1.6,5,0
1188330,Classic Sudoku,0,False,EUR,4.99,222,8
1187600,Wicked Willow,0,False,EUR,16.79,27,7
1187620,Hentai Pazu,0,False,EUR,0.79,13,5
1187650,Blaze Revolutions,0,False,EUR,12.49,6,0
1187740,InfiniteBeat,0,False,EUR,0.79,5,0
1187790,FULLCHOKE : Clay Shooting VR,0,False,EUR,13.99,7,0
1187830,Incredible Dracula: Witches' Curse,0,False,EUR,5.69,2,0
1187840,Vesper,0,False,EUR,19.99,4,0
1187900,NARWHAR Project Hornwhale,0,False,EUR,3.99,1,0
1187940,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,0,False,EUR,19.99,73,4
1187950,Gaijin Charenji 1 : Kiss or Kill,0,False,EUR,9.99,1,0
1187330,Tower Tag,0,False,EUR,13.49,112,8
1187420,Hasfax,0,False,EUR,0.79,8,0
1187430,"SpaceVibes VR (Point & Click, Abstract, Disco Music)",0,False,EUR,3.99,1,0
1187490,Phoenix Tales,0,False,EUR,2.39,4,0
1187510,Rock Simulator,0,False,EUR,1.59,161,8
1186880,OctoFurry,0,False,EUR,1.59,44,7
1186940,Underneath,0,False,EUR,5.69,1,0
1187030,星礼研究所 | Sighchology Research Lab,0,False,EUR,2.39,2,0
1187110,INVESTMENT HERO,0,False,EUR,6.99,2,0
1187140,Elementary Anatomy: With Story Mode,0,False,EUR,8.19,4,0
1187190,The Knight of the Crimson Tower,0,False,EUR,4.99,2,0
1187250,Consumed Awakening,0,False,EUR,8.99,1,0
